name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
1INCH-PERP,true,false,0.0001,1,1,2.3776,2.3782,2.3789,2.3782,future,NaN,NaN,1INCH,false,false,-0.012416427889207259,-0.003728373340036027,0.015456874466268146,9103974.7224,9103974.7224
1INCH-0924,true,false,0.0001,1,1,2.3462,2.3325,2.346,2.346,future,NaN,NaN,1INCH,false,false,-0.007446268404129294,0.002778371446890361,0.01955671447196871,40566.7146,40566.7146
1INCH/USD,true,false,0.0001,1,1,2.3767,2.3746,2.3779,2.3767,spot,1INCH,USD,NaN,false,true,-0.012424166874428655,-0.00464863053857107,0.014773066905768328,679656.6474,679656.6474
AAPL-0924,true,false,0.01,0.01,0.01,147.34,147.18,147.24,147.24,future,NaN,NaN,AAPL,true,true,false,-0.0006787023211619384,0.001837109614206981,0.003817834742296155,68836.5439,68836.5439
AAPL/USD,true,false,0.01,0.01,0.01,147.38,147.37,147.39,147.38,spot,AAPL,USD,NaN,true,true,true,-0.0006780580417683754,0.0014949714596357705,0.0031309556221072693,70817.9402,70817.9402
AAVE-PERP,true,false,0.01,0.01,0.01,372.86,372.84,372.87,372.86,future,NaN,NaN,AAVE,false,false,-0.0021142780677104243,0.12456267342260828,0.0967760913048594,63866926.8734,63866926.8734
AAVE-0924,true,false,0.01,0.01,0.01,374.44,375.2,376.63,375.2,future,NaN,NaN,AAVE,false,false,-0.0036910167556228257,0.12187537375911972,0.09697979709382218,123357.8865,123357.8865
AAVE/USD,true,false,0.01,0.01,0.01,372.59,372.54,372.68,372.59,spot,AAVE,USD,NaN,false,true,-0.002463120130652459,0.11922499249023731,0.09617534568990879,33541504.1778,33541504.1778
AAVE/USDT,true,false,0.01,0.01,0.01,372.5,372.09,372.91,372.5,spot,AAVE,USDT,NaN,false,true,-0.0021965070181077895,0.11885381311386778,0.0973310552053261,689392.9358,689420.511517432
ABNB-0924,true,false,0.005,0.025,0.025,146.945,149.875,149.97,149.875,future,NaN,NaN,ABNB,true,true,false,-0.0009998333611064823,0.01980063280372878,0.017826825127334467,5314.302125,5314.302125
ABNB/USD,true,false,0.005,0.025,0.025,149,149.545,150.09,149.545,spot,ABNB,USD,NaN,true,true,true,-0.001068768578203801,0.019949529395716818,0.017209128320239433,1640.692625,1640.692625
ACB-0924,true,false,0.001,0.1,0.1,7.5,7.402,7.412,7.412,future,NaN,NaN,ACB,true,true,false,-0.0052341967521138105,0.0571958351162459,0.06831940040357452,2.132,2.132
ACB/USD,true,false,0.001,0.1,0.1,7.437,7.393,7.403,7.403,spot,ACB,USD,NaN,true,true,true,-0.006975184439973172,0.05681655960028551,0.06426106958021852,11438.8471,11438.8471
ADA-PERP,true,false,0.000005,1,1,1.374095,1.374155,1.37416,1.374155,future,NaN,NaN,ADA,false,false,0.00006549908483223137,0.0009323499954475098,-0.0023957225462900786,49746487.72172,49746487.72172
ADA-0924,true,false,0.000005,1,1,1.370795,1.37028,1.37153,1.370795,future,NaN,NaN,ADA,false,false,-0.00044844357267337994,0.0021676670346461183,-0.001547795938583457,3011185.217035,3011185.217035
AKRO/USD,true,false,0.000005,1,1,0.027075,0.02704,0.02706,0.02706,spot,AKRO,USD,NaN,false,true,0.014052838673412029,0.10448979591836735,0.044585987261146494,70143.446525,70143.446525
AKRO/USDT,true,false,0.000005,1,1,0.0273,0.026855,0.027175,0.027175,spot,AKRO,USDT,NaN,false,true,0.012858740216175923,0.11350133169432493,0.052682548905674996,61143.412065,61145.8578014826
ALCX-PERP,true,false,0.1,0.001,0.001,370.2,369.9,370.4,370.2,future,NaN,NaN,ALCX,false,false,-0.0034993270524899056,0.02633767673967286,0.011199125921879268,652826.0735,652826.0735
ALCX/USD,true,false,0.1,0.001,0.001,370.4,370,370.9,370.4,spot,ALCX,USD,NaN,false,true,-0.005904455179817499,0.02235716257245377,0.010641200545702592,1207091.6931,1207091.6931
ALGO-PERP,true,false,0.0001,1,1,0.8413,0.8413,0.8418,0.8413,future,NaN,NaN,ALGO,false,false,-0.0007126737142178406,0.011664261664261663,0.013492350319238646,8607060.5316,8607060.5316
ALGO-0924,true,false,0.0001,1,1,0.8481,0.8509,0.8521,0.8509,future,NaN,NaN,ALGO,false,false,-0.0011738466956215518,0.010570071258907363,0.014062686211416995,11328.2414,11328.2414
ALPHA-PERP,true,false,0.00005,1,1,0.82715,0.8263,0.8273,0.82715,future,NaN,NaN,ALPHA,false,false,0.020794767370109837,0.14365710335292084,0.10751824328847827,33309549.98135,33309549.98135
ALPHA/USD,true,false,0.00005,1,1,0.8259,0.8258,0.8271,0.8259,spot,ALPHA,USD,NaN,false,true,0.017556828682313806,0.1405883165308659,0.10673366834170854,3941123.19695,3941123.19695
ALT-PERP,true,false,0.05,0.001,0.001,3611.4,3610.05,3612.65,3611.4,future,NaN,NaN,ALT,false,false,-0.0014930325149303252,0.00038781163434903045,-0.0029403238497535925,14816844.395,14816844.395
ALT-0924,true,false,0.05,0.001,0.001,3606.05,3597.85,3606.05,3606.05,future,NaN,NaN,ALT,false,false,0,0.00152754440293844,-0.001191020261193513,200093.17655,200093.17655
AMC-0924,true,false,0.0025,0.1,0.1,32.5,31.3125,31.4475,31.4475,future,NaN,NaN,AMC,true,true,false,-0.012714857546503415,0.038128249566724434,0.06818953804347826,89487.501,89487.501
AMC/USD,true,false,0.0025,0.1,0.1,31.525,31.3575,31.52,31.52,spot,AMC,USD,NaN,true,true,true,-0.012221874020683171,0.038806953942489904,0.073203949608444,16343.0395,16343.0395
AMD-0924,true,false,0.01,0.01,0.01,113.53,113.73,113.79,113.73,future,NaN,NaN,AMD,true,true,false,0.003883837938035131,-0.048443775100401605,-0.034877800407331974,51128.2697,51128.2697
AMD/USD,true,false,0.01,0.01,0.01,113.93,113.58,113.81,113.81,spot,AMD,USD,NaN,true,true,true,0.0050335570469798654,-0.047056853386921206,-0.03346072186836518,11805.5228,11805.5228
AMPL-PERP,true,false,0.0001,10,10,1.0403,1.0307,1.0404,1.0403,future,NaN,NaN,AMPL,false,false,-0.0011521843494959193,0.05657119642494414,-0.0011521843494959193,548056.022,548056.022
AMPL/USD,true,false,0.0001,1,1,1.0339,1.0291,1.0375,1.0339,spot,AMPL,USD,NaN,false,true,-0.00394990366088632,0.048792858592006494,-0.015427102180744692,134973.7974,134973.7974
AMPL/USDT,true,false,0.0001,1,1,1.0429,1.0346,1.0433,1.0429,spot,AMPL,USDT,NaN,false,true,0.008022424125265803,0.05802982651922492,-0.007045606017328382,211784.103,211792.57436412
AMZN-0924,true,false,0.1,0.001,0.001,3376.2,3375.2,3376.2,3376.2,future,NaN,NaN,AMZN,true,true,false,-0.0007695039659050551,0.003268750742897896,0.0047317203821087405,4745.0383,4745.0383
AMZN/USD,true,false,0.1,0.001,0.001,3380,3374.6,3374.8,3374.8,spot,AMZN,USD,NaN,true,true,true,-0.0007698229407236335,0.0032999375687486994,0.005901639344262295,75526.7303,75526.7303
APHA/USD,true,false,0.001,0.1,0.1,11.848,12.143,12.15,12.143,spot,APHA,USD,NaN,true,true,true,-0.005487305487305487,0.032216933015980956,0.03494417455041336,0,0
AR-PERP,true,false,0.001,0.1,0.1,11.227,11.212,11.228,11.227,future,NaN,NaN,AR,false,false,-0.010313822284908321,-0.0366397803329329,-0.010488277807156707,699649.451,699649.451
ARKK-0924,true,false,0.01,0.01,0.01,124.83,126.08,126.15,126.08,future,NaN,NaN,ARKK,true,true,false,0.0018275725069527215,0.035139573070607555,0.02612517294701717,343004.4256,343004.4256
ARKK/USD,true,false,0.01,0.01,0.01,126.18,125.98,126.07,126.07,spot,ARKK,USD,NaN,true,true,true,0.002544731610337972,0.03624856156501726,0.027465362673186635,8389.9229,8389.9229
ASD-PERP,true,false,0.00001,0.1,0.1,0.34671,0.34674,0.34758,0.34674,future,NaN,NaN,ASD,false,false,-0.00005767677932864229,0.006794425087108014,-0.0062478505101455925,76551.090306,76551.090306
ASD/USD,true,false,0.00001,0.1,0.1,0.34794,0.34681,0.34733,0.34733,spot,ASD,USD,NaN,false,true,-0.00023027546702743157,0.006811989100817439,-0.006805638957993766,2173.709037,2173.709037
ATOM-PERP,true,false,0.0005,0.01,0.01,12.9515,12.9505,12.952,12.9515,future,NaN,NaN,ATOM,false,false,-0.001079788669931742,0.014530784897383676,0.006098034646158626,14943798.114885,14943798.114885
ATOM-0924,true,false,0.0005,0.01,0.01,13.178,13.138,13.1555,13.1555,future,NaN,NaN,ATOM,false,false,0.00015205078496217738,0.015202376818304587,0.006734264396403291,55216.849905,55216.849905
AUDIO-PERP,true,false,0.0005,0.1,0.1,1.1575,1.1565,1.157,1.157,future,NaN,NaN,AUDIO,false,false,0.030276046304541407,0.03442109968708091,0.014022787028921999,2000487.6914,2000487.6914
AUDIO/USD,true,false,0.00005,1,1,1.16,1.15655,1.159,1.159,spot,AUDIO,USD,NaN,false,true,0.029490140344643808,0.034498147900209754,0.013421938530144712,225225.1347,225225.1347
AUDIO/USDT,true,false,0.00005,1,1,1.1607,1.1566,1.1596,1.1596,spot,AUDIO,USDT,NaN,false,true,0.02988587415071717,0.0362360931146955,0.01701455884932468,122026.7536,122031.634670144
AVAX-PERP,true,false,0.001,0.1,0.1,13.617,13.616,13.617,13.617,future,NaN,NaN,AVAX,false,false,-0.0009537784299339691,0.03433345993163692,-0.006928238039673279,8219918.4056,8219918.4056
AVAX-0924,true,false,0.001,0.1,0.1,13.431,13.576,13.609,13.576,future,NaN,NaN,AVAX,false,false,-0.0030841533264796593,0.031610942249240125,-0.007892429114294067,208860.0125,208860.0125
AXS-PERP,true,false,0.001,0.1,0.1,42.223,42.22,42.225,42.223,future,NaN,NaN,AXS,false,false,0.0019458484611186255,-0.07295920607737233,-0.055477261033935084,141838223.7104,141838223.7104
AXS/USD,true,false,0.001,0.1,0.1,42.245,42.216,42.265,42.245,spot,AXS,USD,NaN,false,true,0.0010663507109004739,-0.0749540159411404,-0.05312114759609997,2628841.3525,2628841.3525
BABA-0924,true,false,0.05,0.005,0.005,199.35,199.05,199.2,199.2,future,NaN,NaN,BABA,true,true,false,-0.002753441802252816,-0.017993591323638158,-0.012149764443342426,7441.8,7441.8
BABA/USD,true,false,0.05,0.005,0.005,199.15,199,199.05,199.05,spot,BABA,USD,NaN,true,true,true,-0.003254882323485228,-0.01849112426035503,-0.011422895455674199,23334.23,23334.23
BADGER-PERP,true,false,0.005,0.01,0.01,15.55,15.49,15.55,15.55,future,NaN,NaN,BADGER,false,false,-0.015822784810126583,0.29260182876142976,0.16218236173393125,10043755.5177,10043755.5177
BADGER/USD,true,false,0.005,0.01,0.01,15.47,15.5,15.535,15.5,spot,BADGER,USD,NaN,false,true,-0.014308426073131956,0.2884455527847049,0.15714818962299365,910425.6712,910425.6712
BAL-PERP,true,false,0.0025,0.01,0.01,23.93,23.9025,23.93,23.93,future,NaN,NaN,BAL,false,false,0.0028287061288632793,0.04486409780591639,0.055580061755624174,3906610.6326,3906610.6326
BAL-0924,true,false,0.0025,0.01,0.01,22.875,22.935,23.0775,22.935,future,NaN,NaN,BAL,false,false,-0.002826086956521739,0.04785836664762993,0.05800945681005651,25161.621025,25161.621025
BAL/USD,true,false,0.0025,0.01,0.01,24.02,23.89,24.0225,24.02,spot,BAL,USD,NaN,false,true,0.008396305625524769,0.049825174825174824,0.06118842500552242,135711.967025,135711.967025
BAL/USDT,true,false,0.0025,0.01,0.01,23.6575,23.7625,24.065,23.7625,spot,BAL,USDT,NaN,false,true,-0.012262288267691988,0.04130148992112182,0.05225285065869589,41439.362525,41441.020099501
BAND-PERP,true,false,0.001,0.1,0.1,6.927,6.925,6.933,6.927,future,NaN,NaN,BAND,false,false,0.006977758395115569,0.05594512195121951,0.06799259944495838,3064188.6301,3064188.6301
BAND/USD,true,false,0.001,0.1,0.1,6.933,6.91,6.933,6.933,spot,BAND,USD,NaN,false,true,0.0071179546775130735,0.05605483625285605,0.06924737816162863,604337.57,604337.57
BAO-PERP,true,false,2.5e-7,1000,1000,0.00081825,0.00081575,0.00081825,0.00081825,future,NaN,NaN,BAO,false,false,-0.0012206286237412267,-0.003045994517209869,0.0030646644192460926,1238454.44,1238454.44
BAO/USD,true,false,2.5e-7,1000,1000,0.0008185,0.0008185,0.00081925,0.0008185,spot,BAO,USD,NaN,false,true,0,-0.002437538086532602,0.003678724708767627,422487.00225,422487.00225
BAT-PERP,true,false,0.000025,1,1,0.68105,0.680625,0.6811,0.68105,future,NaN,NaN,BAT,false,false,-0.005875269131117031,0.013354164341777332,0.017935879231746506,1705179.1979,1705179.1979
BAT/USD,true,false,0.000025,1,1,0.6802,0.68,0.680925,0.6802,spot,BAT,USD,NaN,false,true,-0.00776776922796397,0.012315362577668638,0.017463819602857037,63623.365475,63623.365475
BB-0924,true,false,0.0025,0.1,0.1,10.035,10.235,10.2475,10.235,future,NaN,NaN,BB,true,true,false,0.005896805896805897,0.031234256926952142,0.04067107269954245,5716.613,5716.613
BB/USD,true,false,0.0025,0.1,0.1,9.8325,10.235,10.25,10.235,spot,BB,USD,NaN,true,true,true,0.0061440157286802655,0.03097456560060438,0.03436078827690753,4956.92875,4956.92875
BCH-PERP,true,false,0.05,0.001,0.001,535.85,535.85,535.9,535.85,future,NaN,NaN,BCH,false,false,0.0012144992526158444,-0.014800514800514801,-0.01876945614356345,34909687.48545,34909687.48545
BCH-0924,true,false,0.05,0.001,0.001,537.5,537.15,537.7,537.5,future,NaN,NaN,BCH,false,false,0.001863932898415657,-0.012765175865552392,-0.016918152720621856,645049.50125,645049.50125
BCH/BTC,true,false,0.000001,0.001,0.001,0.013693,0.013616,0.013643,0.013643,spot,BCH,BTC,NaN,false,true,-0.0018290898448931811,-0.011663286004056795,-0.008070379525956085,0.406745961,15981.042225511284
BCH/USD,true,false,0.025,0.001,0.001,535.55,535.75,536.075,535.75,spot,BCH,USD,NaN,false,true,0.0009808958849082162,-0.01512018015533802,-0.018368375246209517,10039917.30385,10039917.30385
BCH/USDT,true,false,0.025,0.001,0.001,535.325,535.675,536.125,535.675,spot,BCH,USDT,NaN,false,true,0.0012616822429906542,-0.015303308823529411,-0.018460833715071002,344454.34865,344468.126823946
BILI-0924,true,false,0.005,0.05,0.05,81,81.345,81.405,81.345,future,NaN,NaN,BILI,true,true,false,-0.0017793594306049821,-0.02264808362369338,-0.023938084953203743,146405.5405,146405.5405
BILI/USD,true,false,0.005,0.05,0.05,81.12,80.84,80.97,80.97,spot,BILI,USD,NaN,true,true,true,-0.000987045033929673,-0.0213331721762253,-0.022750588377285618,332375.0445,332375.0445
BITW-0924,true,false,0.005,0.01,0.01,39.93,39.77,39.835,39.835,future,NaN,NaN,BITW,true,true,false,0.0027690371302706105,0.025617919670442843,0.008736388959230184,5248.97315,5248.97315
BITW/USD,true,false,0.005,0.01,0.01,40.635,40.37,40.415,40.415,spot,BITW,USD,NaN,true,true,true,0.0033515392254220458,0.026152088358512123,0.008232505924909567,4998.7323,4998.7323
BNB-PERP,true,false,0.0025,0.1,0.1,331.335,331.36,331.3625,331.36,future,NaN,NaN,BNB,false,false,-0.0009271333489111836,-0.0069825286942971024,-0.010607248161833316,50600521.903,50600521.903
BNB-0924,true,false,0.0025,0.1,0.1,327.405,327.275,327.8175,327.405,future,NaN,NaN,BNB,false,false,-0.0018140243902439025,-0.008036478492383902,-0.011555327451261576,737088.321,737088.321
BNB/BTC,true,false,1e-7,0.01,0.01,0.0084354,0.0084289,0.0084373,0.0084354,spot,BNB,BTC,NaN,false,true,-0.004508119335347432,-0.00496608670008847,0.0006405693950177936,2.298032776,90289.67058105566
BNB/USD,true,false,0.001,0.01,0.01,331.556,331.479,331.552,331.552,spot,BNB,USD,NaN,false,true,-0.0008498225016122519,-0.0067583760724727986,-0.009748638057918379,17249063.00001,17249063.00001
BNB/USDT,true,false,0.001,0.01,0.01,331.406,331.359,331.461,331.406,spot,BNB,USDT,NaN,false,true,-0.0009014033553910854,-0.007058922226017342,-0.010184698461244385,9977674.05085,9978073.157812035
BNT-PERP,true,false,0.0005,0.1,0.1,3.649,3.6345,3.65,3.649,future,NaN,NaN,BNT,false,false,-0.004501432273905334,0.009126106194690266,0.007732670533001933,761464.5843,761464.5843
BNT/USD,true,false,0.0005,0.1,0.1,3.6505,3.6455,3.6505,3.6505,spot,BNT,USD,NaN,false,true,-0.006666666666666667,0.00703448275862069,0.005647382920110193,727566.75605,727566.75605
BNTX-0924,true,false,0.01,0.01,0.01,397.16,403.97,404.09,403.97,future,NaN,NaN,BNTX,true,true,false,0.00823620435770085,0.006603209408950463,-0.022219532857315746,106405.1855,106405.1855
BNTX/USD,true,false,0.01,0.01,0.01,396.44,403.77,404.1,403.77,spot,BNTX,USD,NaN,true,true,true,0.008744097734029531,0.0034544460460261446,-0.022727272727272728,4378.3813,4378.3813
BOLSONARO2022,true,false,0.001,0.1,0.1,0.402,0.402,0.427,0.402,future,NaN,NaN,BOLSONARO,false,false,0,-0.0585480093676815,-0.0585480093676815,28.14,28.14
BRZ-PERP,true,false,0.00001,1,1,0.19221,0.19145,0.19221,0.19221,future,NaN,NaN,BRZ,false,false,-0.003731923495568341,0.01152510262077676,0.00005202913631633715,54534.47668,54534.47668
BRZ/USD,true,false,0.00001,1,1,0.19119,0.19119,0.19131,0.19119,spot,BRZ,USD,NaN,false,true,-0.007114665558786872,0.006157246605620461,-0.005203184348821479,72333.55984,72333.55984
